bbox_west,bbox_south,bbox_east,bbox_north,place_id,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,geometry,centroide,centroide_lon,centroide_lat,distancia_km
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176562.585771712 -2704018.890021566, -5176562.585771712 -2704294.9464930114, -5176586.530594182 -2704285.2973461677, -5176617.254773641 -2704274.9718687367, -5176656.327914909 -2704181.556971131, -5176657.997707271 -2704164.79336736, -5176756.404137132 -2704118.389860488, -5176961.229833906 -2704018.890021566, -5176562.585771712 -2704018.890021566))",POINT (-5176681.791540013 -2704105.2940891217),-46.502923743636195,-23.594762193622017,2.31
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176562.585771712 -2703411.530527959, -5176562.585771712 -2704018.890021566, -5176961.229833906 -2704018.890021566, -5176978.709160247 -2704010.3989763036, -5177118.827003307 -2703946.090691702, -5177119.183225677 -2703672.740862224, -5177117.3798499275 -2703615.8193838354, -5177117.012495608 -2703558.5458437, -5177115.921564598 -2703526.283257208, -5177116.288918918 -2703511.0508689624, -5177112.303681147 -2703471.172205367, -5177102.151343587 -2703435.64225865, -5177092.7225827165 -2703417.5189795815, -5177088.940172122 -2703411.530527959, -5176562.585771712 -2703411.530527959))",POINT (-5176835.677286279 -2703711.3978537866),-46.504306122814995,-23.591519538605894,2.26
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176562.585771712 -2702804.1941779037, -5176562.585771712 -2703411.530527959, -5177088.940172122 -2703411.530527959, -5176968.3787115 -2703220.6543663526, -5176945.168597669 -2703177.521091926, -5176928.860292269 -2703139.8175311475, -5176919.798885719 -2703111.1755172005, -5176910.726347218 -2703075.281971873, -5176906.017532758 -2703052.8105886956, -5176900.941363978 -2703006.0337732113, -5176900.217787287 -2702942.591949623, -5176898.035925269 -2702910.6950071477, -5176895.508972827 -2702891.8435311676, -5176889.341873037 -2702868.6314673354, -5176877.742382096 -2702833.831654737, -5176862.567987235 -2702804.1941779037, -5176562.585771712 -2702804.1941779037))",POINT (-5176759.598829204 -2703134.5469556274),-46.50362269840716,-23.586770609168656,2.89
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","MULTIPOLYGON (((-5176562.585771712 -2702804.1941779037, -5176862.567987235 -2702804.1941779037, -5176853.730767932 -2702786.934016987, -5176801.533058699 -2702684.697401973, -5176743.157117728 -2702574.8456975906, -5176682.933273209 -2702473.0962923756, -5176639.852630272 -2702403.8628556086, -5176610.686923684 -2702366.331170814, -5176581.10933498 -2702322.1556407725, -5176573.12772749 -2702308.7463207026, -5176564.78989763 -2702290.976559758, -5176562.585771712 -2702278.4174925364, -5176562.585771712 -2702804.1941779037)), ((-5176562.585771712 -2702196.880965013, -5176562.585771712 -2702237.733652406, -5176571.186944084 -2702196.880965013, -5176562.585771712 -2702196.880965013)))",POINT (-5176665.419178177 -2702627.3276630114),-46.50277666820745,-23.5825947804597,2.68
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176562.585771712 -2702196.880965013, -5176571.186944084 -2702196.880965013, -5176593.432402611 -2702091.2229746324, -5176624.245637663 -2701938.9498959016, -5176624.980346302 -2701925.176523307, -5176623.889415292 -2701911.4031626084, -5176622.798484282 -2701876.5932934457, -5176616.586856696 -2701809.5608250466, -5176583.858926402 -2701851.7065912797, -5176563.932737551 -2701874.4191973694, -5176562.585771712 -2701875.8279927173, -5176562.585771712 -2702196.880965013))",POINT (-5176588.340933113 -2701978.956693297),-46.502084262551314,-23.577256686513202,3.06
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176005.988317745 -2705841.107427606, -5176005.988317745 -2705906.1420402424, -5176362.889737178 -2706052.8747587726, -5176274.613380979 -2705923.8531937604, -5176239.770380361 -2705911.7043243493, -5176217.951760164 -2705900.770349803, -5176198.582168767 -2705886.4347056607, -5176183.776676491 -2705872.4635394644, -5176153.505925173 -2705841.107427606, -5176005.988317745 -2705841.107427606))",POINT (-5176166.088691184 -2705924.698962464),-46.49829110612453,-23.609738961704256,4.16
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176005.988317745 -2705841.107427606, -5176153.505925173 -2705841.107427606, -5176150.937426707 -2705838.446838236, -5176104.517199047 -2705788.0293611377, -5176092.606013532 -2705773.8153060754, -5176082.587259361 -2705759.3582887254, -5176063.885584908 -2705721.4542383207, -5176057.874332404 -2705706.9972685017, -5176050.638565502 -2705685.980016458, -5176041.287728275 -2705649.291007102, -5176015.795564884 -2705521.6090539386, -5176005.988317745 -2705480.840622767, -5176005.988317745 -2705841.107427606))",POINT (-5176045.841218586 -2705737.8208630797),-46.497210904699415,-23.608200718857827,4.35
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176005.988317745 -2705116.9054269, -5176011.231465762 -2705105.526061634, -5176005.988317745 -2705081.7740057507, -5176005.988317745 -2705116.9054269))",POINT (-5176007.736033751 -2705101.401831428),-46.4968686,-23.60296205082391,2.91
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176562.585771712 -2704018.890021566, -5176005.988317745 -2704018.890021566, -5176005.988317745 -2704214.369876059, -5176012.122021688 -2704219.3358819718, -5176017.91063521 -2704235.3706879257, -5176024.7011241475 -2704244.602856249, -5176040.3971723495 -2704261.852448241, -5176052.864955318 -2704272.177917171, -5176078.691077183 -2704299.5100731053, -5176094.053166912 -2704318.0959659214, -5176107.411505807 -2704331.336909321, -5176123.441512482 -2704340.2047032565, -5176133.460266653 -2704342.9986667503, -5176160.510902915 -2704346.0355841485, -5176166.967433382 -2704345.428200623, -5176172.867366394 -2704340.3261799193, -5176185.00119089 -2704326.842275924, -5176217.28384322 -2704370.2094672774, -5176313.463883266 -2704340.690609915, -5176391.498846311 -2704312.0221423553, -5176414.987258869 -2704360.491318897, -5176552.466829998 -2704299.0241677016, -5176562.585771712 -2704294.9464930114, -5176562.585771712 -2704018.890021566))",POINT (-5176289.5121519985 -2704174.204300146),-46.49939983793721,-23.595329471947068,2.21
-46.5068529,-23.6240509,-46.454509,-23.575862,8004197,relation,3049453,-23.5982995,-46.4817046,boundary,administrative,18,0.3904629164976426,suburb,São Mateus,"São Mateus, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, São Paulo, Southeast Region, Brazil","POLYGON ((-5176562.585771712 -2704018.890021566, -5176562.585771712 -2703411.530527959, -5176005.988317745 -2703411.530527959, -5176005.988317745 -2704018.890021566, -5176562.585771712 -2704018.890021566))",POINT (-5176284.287044728 -2703715.2102747625),-46.49935289999999,-23.591550923819046,1.73
