DISTRITO,POP. TOTAL 2022,POP. URB. 2022,CIDADE,DS_ZONA_SP,ENDERECO,QT_HOMENS_<=19,QT_HOMENS_20_34,QT_HOMENS_34_50,QT_HOMENS_50_64,QT_HOMENS_65+,QT_MULHERES_<=19,QT_MULHERES_20_34,QT_MULHERES_34_50,QT_MULHERES_50_64,QT_MULHERES_65+,TOTAL_HOMENS,TOTAL_MULHERES,TOTAL_GERAL,LEITOS,PRESSAO_BAIRRO,FL_PERIFERIA,IDADE MÉDIA AO MORRER_x,PROPORÇÃO ADOLESCENTE GRÁVIDAS(%),TEMPO MÉDIO DESLOCAMENTO NO TRANSPORTE IDA AO TRABALHO (MIN),TEMPO MÉDIO ATÉ AGENDAMENTO DE CONSULTAS (DIAS),IDADE MÉDIA AO MORRER_y,DOMICÍLIOS EM FAVELAS (%),POPULAÇÃO PRETA E PARDA (%)_x,POPULAÇÃO PRETA E PARDA (%)_y
ARTUR ALVIM,95575,95575,São Paulo,Zona Leste,"[""NICOLO TARTAGLIA,R,45"", ""FRANCISCO DE TOLEDO,PE,AV,545"", ""NICOLAU DA FONSECA,IRMAO,R,33"", ""HENRIQUE JACOBS,R,269"", ""JAPANI,R,7"", ""COELHO DE CASTRO,R,95"", ""REBELO DA SILVA,R,121"", ""SYLVIO TORRES,AV,313""]",30532,9039,4946,1780,207,30462,9884,5787,2514,420,46506,49068,95575,,,0,68.6,8.3,47.0,28.0,68.6,,38.2,38.2
BARRA FUNDA,33436,33436,São Paulo,Zona Central,[NaN],10681,3162,1730,622,72,10656,3457,2024,879,147,16269,17166,33436,,,0,75.9,1.6,27.0,,75.9,1.1,15.7,15.7
BELÉM,55785,55785,São Paulo,Zona Leste,[NaN],17820,5276,2887,1039,121,17780,5769,3378,1467,245,27144,28640,55785,,,0,67.9,6.6,28.0,18.0,68.0,,24.7,24.7
BOM RETIRO,33520,33520,São Paulo,Zona Central,[NaN],10708,3170,1734,624,72,10683,3466,2029,881,147,16310,17209,33520,,,0,66.2,8.4,27.0,28.0,67.4,,31.4,31.4
BRASILÂNDIA,243273,243261,São Paulo,Zona Oeste,[NaN],77715,23008,12589,4531,529,77537,25159,14731,6399,1069,118374,124898,243273,,,0,62.8,12.5,50.0,18.0,62.8,25.1,50.6,50.6
BRÁS,38750,38750,São Paulo,Zona Central,[NaN],12378,3664,2005,721,84,12350,4007,2346,1019,170,18855,19894,38750,,,0,61.7,8.0,29.0,18.0,61.7,0.2,34.0,34.0
BUTANTÃ,51715,51715,São Paulo,Zona Oeste,[NaN],16520,4891,2676,963,112,16483,5348,3131,1360,227,25164,26550,51715,,,0,76.8,4.2,30.0,22.0,76.8,1.3,16.1,16.1
CAMPO BELO,71034,71034,São Paulo,Zona Sul,[NaN],22692,6718,3676,1323,154,22640,7346,4301,1868,312,34564,36469,71034,,,0,77.9,3.8,29.0,24.0,77.9,9.1,12.2,12.2
CAMPO LIMPO,236162,236162,São Paulo,Zona Sul,[NaN],75443,22336,12221,4399,513,75271,24423,14300,6212,1038,114914,121247,236162,,,0,63.4,7.7,49.0,5.0,63.4,21.7,47.9,47.9
CANGAÍBA,141172,141172,São Paulo,Zona Leste,[NaN],45098,13352,7306,2629,307,44995,14599,8548,3713,620,68693,72478,141172,,,0,66.1,8.4,48.0,23.0,66.2,10.8,38.8,38.8
CAPÃO REDONDO,270767,270767,São Paulo,Zona Sul,[NaN],86498,25609,14012,5043,589,86300,28002,16396,7122,1190,131753,139013,270767,,,0,62.8,9.8,59.0,7.0,62.8,21.1,53.9,53.9
CARRÃO,84397,84397,São Paulo,Zona Leste,[NaN],26961,7982,4367,1572,183,26899,8728,5110,2220,371,41066,43330,84397,,,0,73.4,5.0,39.0,30.0,73.4,,17.3,17.3
CASA VERDE,80536,80536,São Paulo,Zona Norte,[NaN],25727,7617,4167,1500,175,25669,8328,4876,2118,354,39188,41347,80536,,,0,71.3,6.9,36.0,23.0,71.3,0.1,29.1,29.1
CIDADE ADEMAR,249218,249218,São Paulo,Zona Sul,[NaN],79614,23571,12897,4642,542,79432,25774,15091,6556,1096,121267,127950,249218,,,0,65.4,10.5,44.0,24.0,65.4,16.2,50.0,50.0
CIDADE LÍDER,136660,136660,São Paulo,Zona Leste,[NaN],43656,12925,7072,2545,297,43557,14133,8275,3595,601,66497,70162,136660,,,0,64.6,7.9,51.0,39.0,64.6,,40.7,40.7
CONSOLAÇÃO,53144,53144,São Paulo,Zona Central,[NaN],16977,5026,2750,989,115,16938,5496,3218,1398,233,25859,27284,53144,,,0,78.1,0.7,30.0,,78.1,0.0,10.6,10.6
CURSINO,103171,103171,São Paulo,Zona Sul,[NaN],32958,9757,5339,1921,224,32883,10669,6247,2714,453,50202,52968,103171,,,0,73.6,5.7,35.0,19.0,73.6,,24.6,24.6
FREGUESIA DO Ó,137240,137240,São Paulo,Zona Oeste,[NaN],43842,12980,7102,2556,298,43742,14193,8310,3610,603,66779,70460,137240,,,0,69.3,6.9,42.0,14.0,69.6,,29.9,29.9
GRAJAÚ,384873,382897,São Paulo,Zona Sul,[NaN],122950,36401,19918,7169,837,122669,39803,23306,10124,1692,187276,197596,384873,,,0,60.4,10.7,64.0,,60.4,,56.8,56.8
IGUATEMI,149700,149376,São Paulo,Zona Leste,"[""SOMOS TODOS IGUAIS,R, 330"", ""BENTO GUELFI, AV,1100"", ""PONTE DA AMIZADE,R,2"", ""SIMAO NUNES,R,31"", ""RAGUEB CHOHFI,AV,3826"", ""PEDRO ROMAZZANI, R,03""]",47822,14158,7747,2788,325,47713,15481,9065,3938,658,72842,76857,149700,,,0,59.3,12.2,56.0,25.0,59.3,,50.9,50.9
ITAIM BIBI,101452,101452,São Paulo,Zona Leste,[NaN],32409,9595,5250,1889,220,32335,10492,6143,2668,446,49365,52086,101452,,,0,79.5,0.6,29.0,15.0,79.5,0.7,8.3,8.3
JAGUARA,24730,24730,São Paulo,Zona Oeste,[NaN],7900,2338,1279,460,53,7882,2557,1497,650,108,12033,12696,24730,,,0,71.7,4.3,,14.0,,,25.8,25.8
JAGUARÉ,55382,55382,São Paulo,Zona Oeste,[NaN],17692,5238,2866,1031,120,17651,5727,3353,1456,243,26948,28433,55382,,,0,,10.4,42.0,,,,35.2,35.2
JARAGUÁ,211617,210970,São Paulo,Zona Oeste,[NaN],67602,20014,10951,3942,460,67448,21885,12814,5566,930,102971,108645,211617,,,0,62.1,11.8,57.0,17.0,62.1,13.6,47.3,47.3
JARDIM HELENA,129409,129409,São Paulo,Zona Leste,"[""KUMAKI AOKI,AV,785"", ""RIO MANOEL ALVES,R,57"", ""SILVEIRA PIRES,R,265"", ""MARFIM VEGETAL,R,108"", ""KUMAKI AOKI, AV., 785"", ""RIO MANUEL ALVES, R., 57""]",41340,12239,6697,2410,281,41246,13383,7836,3404,569,62969,66439,129408,,,0,62.9,11.8,59.0,25.0,62.9,12.3,54.7,54.7
JARDIM SÃO LUÍS,259377,259377,São Paulo,Zona Sul,[NaN],82859,24531,13423,4831,564,82670,26824,15706,6823,1140,126210,133166,259377,,,0,63.5,9.2,46.0,8.0,63.5,20.6,51.3,51.3
JARDIM ÂNGELA,311432,311329,São Paulo,Zona Sul,[NaN],99488,29455,16117,5801,677,99262,32208,18858,8192,1369,151540,159891,311432,,,0,59.8,12.1,62.0,6.0,59.8,19.4,60.1,60.1
JAÇANÃ,87329,87329,São Paulo,Zona Norte,[NaN],27897,8259,4519,1626,189,27834,9031,5288,2297,384,42493,44835,87329,,,0,,,47.0,21.0,68.7,8.2,37.5,37.5
JOSÉ BONIFÁCIO,128243,128243,São Paulo,Zona Leste,[NaN],40968,12129,6636,2388,278,40874,13262,7765,3373,564,62402,65840,128243,,,0,64.5,10.0,54.0,28.0,64.5,1.3,47.6,47.6
LAJEADO,164391,164391,São Paulo,Zona Leste,"[""MANOEL TEODORO XAVIER,R,138"", ""COSME DEODATO TADEU,PROF,R,136"", ""CLAUDIO DA COSTA,R,54"", ""TRAVESSA ASUCENA DO BREJO,16B (RUA MARILIA)"", ""SERRA DA QUEIMADA,R,800"", ""COSME DEODATO TADEU,PROF,R,90"", ""PACHECO ARANHA,R,04"", ""FRANCISCO NUNES CUBAS,R,60"", ""NORDESTINA,AV,5593"", ""TRAVESSA A\u00b4\u2510\u00a2UCENA DO BREJO,16B (RUA MARILIA)"", ""CONJUNTO DA PAZ,R, 39 H"", ""ESTRADA DO LAGEADO VELHO,76""]",52515,15548,8507,3062,357,52395,17001,9954,4324,723,79991,84399,164391,,,0,61.5,10.3,59.0,19.0,61.5,,56.2,56.2
LAPA,75533,75533,São Paulo,Zona Oeste,[NaN],24129,7143,3909,1407,164,24074,7811,4573,1986,332,36753,38779,75533,,,0,77.7,0.9,31.0,16.0,77.7,0.5,10.7,10.7
LIMÃO,82373,82373,São Paulo,Zona Oeste,[NaN],26314,7790,4263,1534,179,26254,8518,4988,2166,362,40082,42290,82373,,,0,70.4,6.3,37.0,20.0,70.4,8.2,33.5,33.5
MANDAQUI,103665,103665,São Paulo,Zona Norte,[NaN],33116,9804,5364,1931,225,33040,10720,6277,2727,455,50442,53222,103665,,,0,70.4,6.2,42.0,32.0,70.4,,24.3,24.3
MARSILAC,11451,6652,São Paulo,Zona Sul,[NaN],3658,1083,592,213,24,3649,1184,693,301,50,5571,5879,11451,,,0,61.6,9.6,73.0,4.0,61.6,,48.6,48.6
PARELHEIROS,153687,145558,São Paulo,Zona Sul,[NaN],49096,14535,7953,2862,334,48984,15894,9306,4042,675,74782,78904,153687,,,0,61.9,11.6,66.0,10.0,61.9,,56.6,56.6
PEDREIRA,163586,163586,São Paulo,Zona Sul,[NaN],52258,15471,8465,3047,355,52139,16917,9906,4303,719,79599,83986,163586,,,0,62.1,11.2,55.0,17.0,62.1,18.1,52.4,52.4
PERDIZES,102391,102391,São Paulo,Zona Oeste,[NaN],32709,9684,5298,1907,222,32634,10589,6200,2693,450,49822,52568,102391,,,0,77.9,0.8,32.0,10.0,77.9,0.0,9.4,9.4
PERUS,87716,87280,São Paulo,Zona Oeste,[NaN],28021,8296,4539,1633,190,27957,9071,5311,2307,385,42681,45034,87716,,,0,64.3,9.3,64.0,17.0,64.3,10.5,48.8,48.8
PINHEIROS,65145,65145,São Paulo,Zona Oeste,[NaN],20810,6161,3371,1213,141,20763,6737,3944,1713,286,31699,33445,65145,,,0,78.8,0.6,25.0,14.0,78.8,0.1,11.1,11.1
PONTE RASA,89881,89881,São Paulo,Zona Leste,"[""JOSE SILVA ALCANTARA FILHO,R,1031"", ""BRENO ACIOLI,R,440"", ""JAMES TORRES,AV,600"", ""LUIS ASSON,165"", ""PEIXOTO,R,100"", ""JOSE SILVA ALCANTARA FILHO,R,210"", ""BARTOLOMEU SOARES,R,16"", ""SAO MIGUEL,AV,4331""]",28713,8500,4651,1674,195,28647,9295,5442,2364,395,43735,46145,89881,,,0,68.0,6.5,47.0,15.0,68.6,,37.1,37.1
RAPOSO TAVARES,117738,117738,São Paulo,Zona Oeste,[NaN],37612,11135,6093,2193,256,37526,12176,7129,3097,517,57290,60447,117738,,,0,65.3,8.1,48.0,8.0,65.9,11.1,46.5,46.5
REPÚBLICA,60825,60825,São Paulo,Zona Central,[NaN],19430,5752,3147,1133,132,19386,6290,3683,1600,267,29596,31228,60825,,,0,67.4,6.1,27.0,0.0,67.9,0.0,30.2,30.2
SACOMÃ,261436,261436,São Paulo,Zona Sul,[NaN],83517,24726,13529,4870,568,83326,27037,15831,6877,1149,127212,134223,261435,,,0,67.1,7.8,44.0,31.0,67.9,23.7,32.0,32.0
SANTA CECÍLIA,80972,80972,São Paulo,Zona Central,[NaN],25866,7658,4190,1508,176,25808,8374,4903,2130,356,39400,41571,80972,,,0,72.7,5.0,30.0,29.0,72.7,0.0,19.7,19.7
SAÚDE,128469,128469,São Paulo,Zona Sul,[NaN],41040,12150,6648,2393,279,40946,13286,7779,3379,565,62512,65956,128469,,,0,77.3,1.2,29.0,24.0,77.3,0.9,10.9,10.9
SOCORRO,38051,38051,São Paulo,Zona Sul,[NaN],12155,3598,1969,708,82,12127,3935,2304,1000,167,18515,19535,38051,,,0,73.3,4.1,37.0,19.0,73.3,,21.5,21.5
SÃO DOMINGOS,88884,88884,São Paulo,Zona Oeste,[NaN],28394,8406,4599,1655,193,28329,9192,5382,2338,390,43250,45633,88884,,,0,69.2,7.0,45.0,16.0,69.3,12.1,32.4,32.4
SÃO LUCAS,138038,138038,São Paulo,Zona Leste,[NaN],44097,13055,7143,2571,300,43996,14275,8358,3631,607,67168,70869,138038,,,0,70.2,6.2,41.0,23.0,70.4,,24.4,24.4
SÃO MATEUS,155682,155682,São Paulo,Zona Leste,[NaN],49733,14724,8056,2900,338,49620,16100,9427,4095,684,75753,79928,155682,,,0,65.6,7.7,49.0,34.0,65.6,,38.3,38.3
SÃO MIGUEL,81011,81011,São Paulo,Zona Leste,[NaN],25879,7662,4192,1509,176,25820,8378,4905,2131,356,39419,41591,81011,,,0,66.0,8.3,50.0,22.0,66.2,,44.1,44.1
SÃO RAFAEL,148145,148028,São Paulo,Zona Leste,[NaN],47325,14011,7666,2759,322,47217,15321,8971,3897,651,72086,76058,148145,,,0,59.8,12.4,55.0,27.0,59.8,9.3,47.9,47.9
SÉ,23832,23832,São Paulo,Zona Central,[NaN],7613,2254,1233,443,51,7595,2464,1443,626,104,11596,12235,23832,,,0,61.8,6.2,27.0,23.0,61.8,0.0,39.7,39.7
TATUAPÉ,98601,98601,São Paulo,Zona Leste,[NaN],31498,9325,5102,1836,214,31426,10197,5970,2593,433,47978,50622,98601,,,0,75.2,2.2,32.0,17.0,75.2,1.0,11.1,11.1
TREMEMBÉ,196563,196282,São Paulo,Zona Norte,[NaN],62793,18590,10172,3661,427,62650,20328,11903,5170,864,95646,100916,196563,,,0,65.4,10.3,46.0,22.0,66.1,10.7,40.7,40.7
TUCURUVI,99559,99559,São Paulo,Zona Norte,[NaN],31804,9416,5152,1854,216,31732,10296,6028,2619,437,48444,51114,99559,,,0,72.7,5.5,36.0,27.0,72.7,0.7,19.3,19.3
VILA CURUÇÁ,140673,140673,São Paulo,Zona Leste,[NaN],44938,13304,7280,2620,306,44836,14548,8518,3700,618,68450,72222,140673,,,0,64.6,9.2,58.0,17.0,64.6,,51.2,51.2
VILA FORMOSA,92186,92186,São Paulo,Zona Leste,"[""TERESINHA,R,123"", ""NOSSA SENHORA DAS DORES,R,350"", ""MARQUES DE NAZARE,PCA111"", ""CORONEL IRINEU DE CASTRO, R., 470"", ""FRANCISCO ZICARDI, R., 223"", ""ACURUI,R,720""]",29449,8718,4770,1717,200,29382,9533,5582,2425,405,44857,47328,92186,,,0,71.9,4.2,38.0,26.0,71.9,0.9,20.4,20.4
VILA GUILHERME,52587,52587,São Paulo,Zona Norte,[NaN],16799,4973,2721,979,114,16760,5438,3184,1383,231,25588,26998,52587,,,0,71.4,6.0,34.0,20.0,71.4,2.1,22.0,22.0
VILA JACUÍ,134189,134189,São Paulo,Zona Leste,[NaN],42867,12691,6944,2499,291,42769,13877,8125,3530,590,65295,68893,134189,,,0,64.4,10.0,59.0,19.0,64.4,,49.0,49.0
VILA LEOPOLDINA,46875,46875,São Paulo,Zona Oeste,[NaN],14974,4433,2425,873,101,14940,4847,2838,1233,206,22809,24065,46874,,,0,75.8,3.1,33.0,24.0,75.8,,14.4,14.4
VILA MEDEIROS,114939,114939,São Paulo,Zona Norte,[NaN],36717,10870,5948,2141,250,36634,11886,6960,3023,505,55928,59010,114939,,,0,,9.6,40.0,15.0,69.3,,34.4,34.4
VILA SÔNIA,123748,123748,São Paulo,Zona Sul,[NaN],39532,11704,6404,2305,269,39441,12797,7493,3255,544,60214,63533,123747,,,0,70.8,5.3,38.0,4.0,70.8,22.7,27.9,27.9
ÁGUA RASA,85788,85788,São Paulo,Zona Leste,[NaN],27405,8113,4439,1598,186,27343,8872,5194,2256,377,41743,44044,85788,,,0,73.4,3.8,35.0,31.0,73.4,0.1,13.8,13.8
