centroide_lon,centroide_lat,populacao_estimada,tempo_minutos
-46.42176074613922,-23.574410545070076,542.3102564102564,8.06
-46.42229072093606,-23.572987378686047,542.3102564102564,6.785
-46.422225004609864,-23.571320226730645,542.3102564102564,6.845
-46.42165223103804,-23.56926468175626,542.3102564102564,6.47
-46.42156539439834,-23.567728094612622,542.3102564102564,7.093333333333334
-46.420356800634565,-23.574818171254734,542.3102564102564,4.8983333333333325
-46.42047000000001,-23.57313240380773,542.3102564102564,6.316666666666666
-46.42046999999999,-23.571132403807372,542.3102564102564,5.998333333333333
-46.42047000000001,-23.569132403807007,542.3102564102564,5.948333333333333
-46.42040282828643,-23.56719811273259,542.3102564102564,6.783333333333333
-46.41988252413991,-23.565417514218158,542.3102564102564,6.1066666666666665
-46.41764164530879,-23.592750435052903,542.3102564102564,4.3566666666666665
-46.417488495096414,-23.592106911318545,542.3102564102564,4.258333333333334
-46.417958279849216,-23.57639900611984,542.3102564102564,4.488333333333333
-46.41845487762008,-23.575115536175154,542.3102564102564,4.736666666666666
-46.41846999999998,-23.57313240380773,542.3102564102564,4.086666666666667
-46.41846999999999,-23.57113240380737,542.3102564102564,5.1433333333333335
-46.41846999999999,-23.569132403807007,542.3102564102564,5.136666666666667
-46.41847,-23.567132403806646,542.3102564102564,5.35
-46.41846403924996,-23.56513859686828,542.3102564102564,5.965
-46.4181464110987,-23.56345979374198,542.3102564102564,5.364999999999999
-46.41555237204292,-23.596304239083338,542.3102564102564,7.401666666666667
-46.41593160972411,-23.59487689140776,542.3102564102564,6.016666666666667
-46.4164285926534,-23.59309363661681,542.3102564102564,3.8116666666666665
-46.41623684163328,-23.591236634269396,542.3102564102564,4.5616666666666665
-46.41586543614695,-23.589793389391687,542.3102564102564,3.815
-46.41563460119762,-23.580998660691126,542.3102564102564,2.56
-46.41569164815824,-23.578924001561425,542.3102564102564,2.885
-46.41635000590686,-23.57700251037641,542.3102564102564,3.183333333333333
-46.41646999999999,-23.57513240380809,542.3102564102564,3.455
-46.41646999999999,-23.57313240380773,542.3102564102564,3.756666666666667
-46.41646999999999,-23.571132403807372,542.3102564102564,4.395
-46.41646999999999,-23.569132403807007,542.3102564102564,4.864999999999999
-46.41646999999999,-23.567132403806646,542.3102564102564,4.748333333333333
-46.41647,-23.565132403806288,542.3102564102564,5.621666666666667
-46.41648022390079,-23.56348207089622,542.3102564102564,5.076666666666667
-46.41360962751614,-23.600525771227794,542.3102564102564,6.291666666666667
-46.413993972058414,-23.598913678626815,542.3102564102564,6.286666666666666
-46.41435589942197,-23.597064388400483,542.3102564102564,3.9616666666666664
-46.41446999999999,-23.59513240381171,542.3102564102564,3.625
-46.41447,-23.59313240381134,542.3102564102564,2.94
-46.41446999999999,-23.591132403810985,542.3102564102564,5.0
-46.41440428275724,-23.58918140562487,542.3102564102564,3.6533333333333333
-46.414160493621985,-23.587170050139417,542.3102564102564,3.61
-46.414150479016456,-23.58510722409278,542.3102564102564,3.5883333333333334
-46.41426296277817,-23.58310644336161,542.3102564102564,2.95
-46.41445927970845,-23.58112108834293,542.3102564102564,2.0083333333333333
-46.41446999999999,-23.579132403808813,542.3102564102564,2.5300000000000002
-46.41447,-23.577132403808452,542.3102564102564,3.3833333333333333
-46.41446999999999,-23.57513240380809,542.3102564102564,3.8433333333333333
-46.41446999999999,-23.57313240380773,542.3102564102564,3.503333333333333
-46.41447,-23.57113240380737,542.3102564102564,3.33
-46.41446999999999,-23.569132403807007,542.3102564102564,3.4733333333333336
-46.41447,-23.567132403806646,542.3102564102564,3.985
-46.41447,-23.565132403806285,542.3102564102564,4.6066666666666665
-46.414449463125834,-23.563719648631114,542.3102564102564,4.608333333333333
-46.411945436317396,-23.60230561546257,542.3102564102564,6.388333333333334
-46.41237723690465,-23.601050830926244,542.3102564102564,6.291666666666667
-46.41246999999998,-23.59913240381243,542.3102564102564,4.6850000000000005
-46.41246999999998,-23.59713240381207,542.3102564102564,4.046666666666667
-46.41246999999998,-23.59513240381171,542.3102564102564,3.5416666666666665
-46.41246999999998,-23.59313240381134,542.3102564102564,2.2633333333333336
-46.41246999999998,-23.591132403810985,542.3102564102564,2.5716666666666668
-46.41246999999998,-23.589132403810623,542.3102564102564,3.0883333333333334
-46.41246999999998,-23.587132403810262,542.3102564102564,3.3333333333333335
-46.41246999999998,-23.585132403809894,542.3102564102564,3.325
-46.41246999999998,-23.583132403809532,542.3102564102564,2.2616666666666663
-46.41246999999998,-23.58113240380918,542.3102564102564,2.855
-46.41246999999998,-23.579132403808813,542.3102564102564,1.7216666666666667
-46.41246999999998,-23.577132403808452,542.3102564102564,4.0183333333333335
-46.41246999999998,-23.57513240380809,542.3102564102564,3.2483333333333335
-46.41246999999998,-23.57313240380773,542.3102564102564,3.29
-46.41246999999999,-23.57113240380737,542.3102564102564,5.585
-46.41246999999999,-23.569132403807007,542.3102564102564,4.215
-46.41246999999998,-23.567132403806646,542.3102564102564,4.578333333333333
-46.41246999999999,-23.565132403806285,542.3102564102564,5.513333333333334
-46.41236206298712,-23.563481914840853,542.3102564102564,4.28
-46.41031832370453,-23.602534360928612,542.3102564102564,6.986666666666666
-46.41046999999998,-23.601132403812798,542.3102564102564,8.041666666666666
-46.41046999999998,-23.59913240381243,542.3102564102564,4.6850000000000005
-46.41046999999998,-23.59713240381207,542.3102564102564,3.815
-46.41046999999999,-23.59513240381171,542.3102564102564,3.2333333333333334
-46.41046999999998,-23.59313240381135,542.3102564102564,2.6166666666666667
-46.41046999999998,-23.591132403810985,542.3102564102564,2.0266666666666664
