DISTRITO,POP. TOTAL 2022,POP. URB. 2022,CIDADE,DS_ZONA_SP,ENDERECO,QT_HOMENS_<=19,QT_HOMENS_20_34,QT_HOMENS_34_50,QT_HOMENS_50_64,QT_HOMENS_65+,QT_MULHERES_<=19,QT_MULHERES_20_34,QT_MULHERES_34_50,QT_MULHERES_50_64,QT_MULHERES_65+,TOTAL_HOMENS,TOTAL_MULHERES,TOTAL_GERAL
JARDIM HELENA,129409,129409,São Paulo,Zona Leste,"[""KUMAKI AOKI,AV,785"", ""RIO MANOEL ALVES,R,57"", ""SILVEIRA PIRES,R,265"", ""MARFIM VEGETAL,R,108"", ""KUMAKI AOKI, AV., 785"", ""RIO MANUEL ALVES, R., 57""]",281,2410,6697,12239,41340,569,3404,7836,13383,41246,62969,66439,129409
JOSÉ BONIFÁCIO,128243,128243,São Paulo,Zona Leste,[NaN],278,2388,6636,12129,40968,564,3373,7765,13262,40874,62402,65840,128243
LAJEADO,164391,164391,São Paulo,Zona Leste,"[""MANOEL TEODORO XAVIER,R,138"", ""COSME DEODATO TADEU,PROF,R,136"", ""CLAUDIO DA COSTA,R,54"", ""TRAVESSA ASUCENA DO BREJO,16B (RUA MARILIA)"", ""SERRA DA QUEIMADA,R,800"", ""COSME DEODATO TADEU,PROF,R,90"", ""PACHECO ARANHA,R,04"", ""FRANCISCO NUNES CUBAS,R,60"", ""NORDESTINA,AV,5593"", ""TRAVESSA A\u00b4\u2510\u00a2UCENA DO BREJO,16B (RUA MARILIA)"", ""CONJUNTO DA PAZ,R, 39 H"", ""ESTRADA DO LAGEADO VELHO,76""]",357,3062,8507,15548,52515,723,4324,9954,17001,52395,79991,84399,164391
MOOCA,80880,80880,São Paulo,Zona Leste,"[""MARINA CRESPI,R,91"", ""VITOANTONIO DEL VECCHIO,R,151"", ""TAQUARI, R., 549"", ""TAQUARI,R,549"", ""JAIBARAS,R,251"", ""CIRO PONTES,PCA,S/N"", ""ALCANTARA MACHADO,AV,2576"", ""PASCOAL MOREIRA,R,486"", ""JUVENTUS,R,562"", ""PADRE CARLOS DA SILVA, R., 160"", ""LUIZ GREGNANIN, R., 341"", ""TAQUARI,549,1+ AND""]",175,1506,4185,7649,25837,355,2127,4897,8364,25778,39355,41524,80880
PARQUE DO CARMO,74677,74677,São Paulo,Zona Leste,"[""CACHOEIRA DA ILHA,R,71"", ""SANTA MARCELINA,R,177"", ""PONTA DE LUCENA,R,330"", ""CARMEM CARDOSO BORDINI,R,184"", ""VERISSIMO DA SILVA,R,135"", ""CACHOEIRA DA ILHA,R,355"", ""MALMEQUER DO CAMPO,R, 214""]",162,1391,3864,7062,23856,328,1964,4522,7723,23801,36337,38339,74677
PENHA,132452,132452,São Paulo,Zona Leste,"[""GERMANO,FREI,R,50"", ""NOSSA SENHORA DA PENHA,PCA,55"", ""NOSSA SENHORA DA PENHA, PCA, 56"", ""NOSSA SENHORA DA PENHA,PCA, 55"", ""SOCRATES,GAL,R,145"", ""GUILHERME RUDGE,R., 35"", ""MARIA CARLOTA,R., 631"", ""MADALENA JULIA,R,60"", ""CANDAPUI,R,492"", ""CANDAPUI, R., 492"", ""COREMU,R,63"", ""GABRIELA MISTRAL,AV,1168"", ""ANGELO ZANCHI,MAJOR,R,725""]",288,2467,6854,12527,42312,582,3484,8020,13698,42216,64450,68001,132452
PONTE RASA,89881,89881,São Paulo,Zona Leste,"[""JOSE SILVA ALCANTARA FILHO,R,1031"", ""BRENO ACIOLI,R,440"", ""JAMES TORRES,AV,600"", ""LUIS ASSON,165"", ""PEIXOTO,R,100"", ""JOSE SILVA ALCANTARA FILHO,R,210"", ""BARTOLOMEU SOARES,R,16"", ""SAO MIGUEL,AV,4331""]",195,1674,4651,8500,28713,395,2364,5442,9295,28647,43735,46145,89881
SAPOPEMBA,266715,266715,São Paulo,Zona Leste,"[""JOAO LOPES DE LIMA,R,1151"", ""BATISTA FERGUSIO,R,1016"", ""PEDRO DE CASTRO VELHO,R,523"", ""DAVID DE MELO LOPES,R,86"", ""DAS ESTERLINAS,R,124"", ""JOAO LOPES DE LIMA, R., 1151"", ""MANUEL FRANCA DOS SANTOS.AV,174"", ""ANTONIO LAZARO,R,226"", ""LEVI LANDAU,R,23"", ""POEMA DAS AMERICAS,R,12"", ""ORATORIO,DO,AV,6557"", ""VILANOVA ARTIGAS,ARQ,AV,1071"", ""BERNARDINO FERRAZ,R,54"", ""VILANOVA ARTIGAS,ARQ,AV,515"", ""AUGUSTIN LUBERTI, 1102 (ANTIGA DOIS,AV,1102)"", ""IACAPE,R,302"", ""JIM CLARK,R,10C"", ""BOLEADEIRAS,R,127"", ""CASA GRANDE,ESTRADA,DA,1258"", ""PALMEIRA BACARA,R,36"", ""EDGAR LOURENCO PINTO,SGTO,R,116""]",580,4968,13803,25225,85203,1173,7016,16151,27583,85009,129781,136933,266715
SÃO LUCAS,138038,138038,São Paulo,Zona Leste,[NaN],300,2571,7143,13055,44097,607,3631,8358,14275,43996,67168,70869,138038
SÃO MATEUS,155682,155682,São Paulo,Zona Leste,[NaN],338,2900,8056,14724,49733,684,4095,9427,16100,49620,75753,79928,155682
SÃO MIGUEL,81011,81011,São Paulo,Zona Leste,[NaN],176,1509,4192,7662,25879,356,2131,4905,8378,25820,39419,41591,81011
SÃO RAFAEL,148145,148028,São Paulo,Zona Leste,[NaN],322,2759,7666,14011,47325,651,3897,8971,15321,47217,72086,76058,148145
TATUAPÉ,98601,98601,São Paulo,Zona Leste,[NaN],214,1836,5102,9325,31498,433,2593,5970,10197,31426,47978,50622,98601
VILA CURUÇÁ,140673,140673,São Paulo,Zona Leste,[NaN],306,2620,7280,13304,44938,618,3700,8518,14548,44836,68450,72222,140673
VILA FORMOSA,92186,92186,São Paulo,Zona Leste,"[""TERESINHA,R,123"", ""NOSSA SENHORA DAS DORES,R,350"", ""MARQUES DE NAZARE,PCA111"", ""CORONEL IRINEU DE CASTRO, R., 470"", ""FRANCISCO ZICARDI, R., 223"", ""ACURUI,R,720""]",200,1717,4770,8718,29449,405,2425,5582,9533,29382,44857,47328,92186
VILA JACUÍ,134189,134189,São Paulo,Zona Leste,[NaN],291,2499,6944,12691,42867,590,3530,8125,13877,42769,65295,68893,134189
VILA MATILDE,103558,103558,São Paulo,Zona Leste,"[""ALVES MALDONADO,R,128"", ""HERCIILIA,R,452"", ""ANTONIO LINDORO DA SILVA,R,295"", ""EDGAR GARCIA VIEIRA,R,DR,130"", ""FREDERICO BROTERO,DR,R,22"", ""DR LUIZ CARLOS, R., 747"", ""JOAO MARCHIORI,R,59"", ""MUAN\u00b4\u2510\u00a2, R., 214"", ""ANTONIO LIDORIO DA SILVA,R,265"", ""MARCONDES DE BRITO,R,1304""]",225,1929,5359,9794,33082,455,2724,6271,10709,33006,50390,53167,103558
VILA PRUDENTE,105690,105690,São Paulo,Zona Leste,"[""CENTENARIO DE V PRUDENTE,PCA,108"", ""SAO JANUARIO,DE,CDE,PCA,91"", ""ZELINA,AV,322"", ""SANTA HELENA,PCA,56"", ""FRANCISCO FALCONI,R,100"", ""PCA CENTENARIO DE VILA PRUDENTE, 108"", ""CHAMANTA,R,1351"", ""FRANCISCO FALCONI,R,1501"", ""PARAMU,R,398""]",229,1968,5469,9996,33763,464,2780,6400,10930,33686,51427,54262,105690
ÁGUA RASA,85788,85788,São Paulo,Zona Leste,[NaN],186,1598,4439,8113,27405,377,2256,5194,8872,27343,41743,44044,85788
